MUNICIPI,COMARCA,PROVINCIA,G,DA,N,E,S,C,U,Ch,HR,LLOC_NAIX,LLENGUA_IDENTIFICACIO,IMP_FAMILIA,IMP_AMICS,IMP_LLEURE,IMP_POLITICA,IMP_TREBALL,IMP_RELIGIO,SATIS_VIDA,CONFI_SOCIAL_WVS_1,SALUT,FELICITAT,ACTITUD_ECONOMIA,ACTITUD_IMMIGRACIO,ACTITUD_MEDIAMBIENT,DESIGUALTATS_GENERE,ECON_MERITOCRACIA,MEDIAMBIENT_CREIXEMENT,IMMIGRACIO_CULTURA,CONFI_POLICIA,CONFI_POLITICS,IDEOL_0_10,PERSONA_RELIGIOSA,DEPENDENCIA_ECO_PARES,INGRESSOS_1_15,INFO_POL_TV_FREQ,FREQ_CONSUM_INTERNET,Inglehart_index,Universalism,Stimulation,Hedonism,Self-Direction,Achievement,Power,Security,Conformity,Tradition,Benevolence
 ,Bages,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Molt important,Molt important,Poc important,9,Un mai no és prou prudent,Molt bona,Molt feliç,D’acord,1,1,3,6,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",8,3,1,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,4,5,2,4,3,2,2,4,2,3,3
Cardedeu,Vallès Oriental,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,No treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Gens important,Gens important,8,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,Ni d’acord ni en desacord,1,2,2,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,2,Un/a ateu/a,No,De 2.001 a 2.400 €,Tots els dies,Tots els dies,0,5,2,2,3,4,2,4,2,2,4
Manlleu,Osona,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe mitjana alta,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Poc important,8,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,En desacord,2,3,2,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",3,3,4,2,Una persona no religiosa,Sí,Més de 6.000 €,1-2 dies per setmana,Tots els dies,2,5,4,3,4,3,2,4,4,4,4
Castelldefels,Baix Llobregat,Barcelona,Femení,3,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Divorciat/ada,Classe treballadora alta,No treballo,2,2,A Catalunya,Català,Molt important,Molt important,Poc important,Poc important,Molt important,Bastant important,5,Es pot confiar en la majoria de la gent,Bona,No gaire feliç,Ni d’acord ni en desacord,1,1,1,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",0 La vida cultural catalana s’empobreix,1,5,2,Una persona religiosa,Sí,De 601 a 900 €,Tots els dies,Tots els dies,4,5,3,2,4,1,1,4,3,4,4
Barcelona,Barcelonès,Barcelona,Femení,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,1,1,A d'altres comunitats autònomes,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,9,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,3,9,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,1,4,1,Un/a ateu/a,No,De 1.201 a 1.800 €,1-2 dies per setmana,Tots els dies,5,6,2,4,3,1,1,1,2,2,4
Cerdanyola del Vallès,Vallès Occidental,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Casat/ada,Classe treballadora mitjana,Treballo,2,1,A Catalunya,Català,Molt important,Gens important,Bastant important,Poc important,Molt important,Poc important,0 Gens satisfet/a,Un mai no és prou prudent,Ni bona ni dolenta,Gens feliç,Molt d’acord,1,3,1,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",0 La vida cultural catalana s’empobreix,1,0 No hi confio en absolut,3,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Tots els dies,Tots els dies,2,1,2,2,4,1,1,4,2,4,2
Vilafranca del Penedès,Alt Penedès,Barcelona,Femení,3,"No, no tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Parella de fet,Classe mitjana baixa,Treballo,2,3,A Catalunya,Castellà,Molt important,Molt important,Bastant important,Poc important,Molt important,Bastant important,8,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,Molt d’acord,2,1,1,9,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",5,3,0 No hi confio en absolut,3,Una persona religiosa,No,De 2.401 a 3.000 €,Amb menys freqüència,Tots els dies,5,5,2,4,4,2,3,4,2,3,4
 ,Alt Camp,Tarragona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,No treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Poc important,10 Molt satisfet/a,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,Molt en desacord,2,3,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",6,2,6,2,Un/a ateu/a,No,De 4.501 a 5.000 €,1-2 dies per setmana,Tots els dies,1,6,4,4,4,4,3,4,4,4,3
Vic,Osona,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Bastant important,Bastant important,Molt important,Gens important,6,Un mai no és prou prudent,Ni bona ni dolenta,No gaire feliç,D’acord,1,2,2,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",3,1,1,3,Un/a ateu/a,No,De 3.001 a 4.000 €,Amb menys freqüència,Tots els dies,2,4,3,4,4,3,2,3,3,3,3
Barcelona,Barcelonès,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Parella de fet,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Bastant important,Bastant important,Poc important,Molt important,Gens important,8,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,1,2,2,3,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",4,2,2,3,Un/a ateu/a,No,De 2.001 a 2.400 €,Amb menys freqüència,Tots els dies,1,4,2,2,2,2,2,2,2,3,3
 ,Moianès,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Bastant important,Poc important,8,Es pot confiar en la majoria de la gent,Bona,Molt feliç,Ni d’acord ni en desacord,2,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,2,4,1,Una persona no religiosa,No,De 2.401 a 3.000 €,Amb menys freqüència,3-4 dies per setmana,4,4,4,3,3,2,1,2,4,3,4
Badalona,Barcelonès,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Castellà,Bastant important,Poc important,Poc important,Poc important,Bastant important,Bastant important,7,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,2,7,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,3,6,1,Una persona religiosa,No,No ho sé,Mai,Tots els dies,2,6,3,1,4,2,3,4,3,2,4
 ,Gironès,Girona,Masculí,4,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora mitjana,Treballo,1,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,8,Un mai no és prou prudent,Bona,Bastant feliç,D’acord,1,1,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",2,1,0 No hi confio en absolut,1,Una persona no religiosa,No,De 1.801 a 2.000 €,Amb menys freqüència,Tots els dies,5,6,2,2,4,2,2,4,2,4,4
Terrassa,Vallès Occidental,Barcelona,Masculí,1,"No, no tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe mitjana,No treballo,1,3,Fora d'Espanya,Castellà,Molt important,Bastant important,Bastant important,Poc important,Bastant important,Poc important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,2,3,2,2,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",6,3,5,2,Una persona no religiosa,Sí,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,2,6,4,3,4,3,3,4,4,3,4
Barcelona,Barcelonès,Barcelona,Masculí,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,No treballo,1,1,A Catalunya,Castellà,Bastant important,Molt important,Bastant important,Bastant important,Molt important,Gens important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt en desacord,3,3,3,3,Decreiexement,5,1,2,1,Un/a ateu/a,No,De 2.001 a 2.400 €,3-4 dies per setmana,Tots els dies,5,6,4,2,3,1,0,1,4,1,4
Vic,Osona,Barcelona,Femení,1,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe treballadora mitjana,Treballo,1,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Poc important,7,Un mai no és prou prudent,Bona,Bastant feliç,Ni d’acord ni en desacord,2,3,1,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,3,1,Una persona no religiosa,Sí,No ho sé,5-6 dies per setmana,5-6 dies per setmana,2,6,3,3,3,2,3,4,3,4,4
Tordera,Maresme,Barcelona,Femení,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Solter/a,Classe mitjana baixa,Treballo,1,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Poc important,Bastant important,Gens important,8,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,En desacord,3,2,1,4,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",2,1,4,1,Un/a ateu/a,No,De 1.201 a 1.800 €,Amb menys freqüència,Tots els dies,4,3,2,2,2,2,2,3,2,2,2
 ,Alt Camp,Tarragona,Masculí,2,"Sí, tinc la ciutadania espanyola","Formació professional de grau mig (FP1, CFGM i equivalents)",Divorciat/ada,Classe treballadora baixa,No treballo,1,1,A Catalunya,Català,Poc important,Poc important,Molt important,Poc important,Bastant important,Gens important,5,Un mai no és prou prudent,Bona,No gaire feliç,En desacord,1,2,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",0 La vida cultural catalana s’empobreix,2,1,1,Un/a ateu/a,No,De 1.201 a 1.800 €,1-2 dies per setmana,Tots els dies,3,6,4,4,3,2,2,4,4,3,4
Badalona,Barcelonès,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Parella de fet,Classe mitjana,No treballo,1,3,A Catalunya,Castellà,Molt important,Molt important,Bastant important,Poc important,Bastant important,Gens important,9,Un mai no és prou prudent,Molt bona,Molt feliç,D’acord,1,3,2,4,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,3,2,Una persona no religiosa,Sí,De 3.001 a 4.000 €,3-4 dies per setmana,Tots els dies,3,4,2,4,3,4,2,3,2,3,4
Corbera de Llobregat,Baix Llobregat,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Molt important,Molt important,Poc important,Molt important,Gens important,8,Un mai no és prou prudent,Bona,Bastant feliç,Molt d’acord,1,2,3,5,Altres,5,2,0 No hi confio en absolut,2,Un/a ateu/a,No,De 3.001 a 4.000 €,Amb menys freqüència,Tots els dies,2,6,4,4,4,2,2,4,4,3,4
Vilafranca del Penedès,Alt Penedès,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,No treballo,1,2,A Catalunya,Català,Bastant important,Poc important,Bastant important,Molt important,Bastant important,Poc important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,En desacord,2,3,3,5,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,2,1,3,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Amb menys freqüència,Tots els dies,6,6,0,2,4,2,1,4,0,2,2
Badalona,Barcelonès,Barcelona,Masculí,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora baixa,Treballo,1,3,A Catalunya,Castellà,Molt important,Bastant important,Molt important,Bastant important,Molt important,Gens important,6,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,8,Altres,9,1,1,1,Un/a ateu/a,Sí,De 2.001 a 2.400 €,Tots els dies,Tots els dies,4,6,1,2,3,1,1,3,1,2,4
Terrassa,Vallès Occidental,Barcelona,Femení,4,"Sí, tinc la ciutadania espanyola i una altra","Formació professional de grau mig (FP1, CFGM i equivalents)",Solter/a,Classe treballadora mitjana,Treballo,2,1,Fora d'Espanya,Castellà,Molt important,Poc important,Molt important,Molt important,Molt important,Molt important,10 Molt satisfet/a,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,Molt d’acord,1,3,1,2,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",0 La vida cultural catalana s’empobreix,2,0 No hi confio en absolut,3,Una persona religiosa,No,De 1.201 a 1.800 €,Mai,Tots els dies,3,6,2,2,4,3,0,4,2,4,3
Vilafranca del Penedès,Alt Penedès,Barcelona,Masculí,2,"No, no tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Solter/a,Classe treballadora baixa,No treballo,1,3,Fora d'Espanya,Altres opcions,Molt important,Bastant important,Molt important,Poc important,Molt important,Poc important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,En desacord,2,1,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,5,2,0 No hi confio en absolut,2,Una persona no religiosa,No,De 1.201 a 1.800 €,Amb menys freqüència,Tots els dies,0,5,4,4,4,2,3,2,4,3,4
Granollers,Vallès Oriental,Barcelona,Masculí,1,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Parella de fet,Classe treballadora mitjana,No treballo,1,3,Fora d'Espanya,Castellà,Molt important,Bastant important,Bastant important,Poc important,Molt important,Poc important,6,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,1,2,2,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,2,5,2,Una persona religiosa,No,De 1.201 a 1.800 €,Amb menys freqüència,Tots els dies,0,5,3,4,4,4,4,3,3,3,4
Manresa,Bages,Barcelona,Femení,6,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora mitjana,Treballo,2,1,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Molt important,Gens important,7,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Molt en desacord,2,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S'ha de prioritzar el medi ambient malgrat que alenteixi el creixement econòmic, però han de convervar-se i/o augmentar",8,2,4,2,Un/a ateu/a,No,De 2.001 a 2.400 €,Tots els dies,Tots els dies,3,6,2,3,3,2,2,4,2,4,4
Barcelona,Barcelonès,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora baixa,Treballo,2,3,Fora d'Espanya,Altres opcions,Molt important,Bastant important,Molt important,Poc important,Molt important,Poc important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,1,3,2,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",4,3,0 No hi confio en absolut,1,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,Tots els dies,Tots els dies,4,5,2,3,2,4,2,4,2,2,4
Sant Cugat del Vallès,Vallès Occidental,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Divorciat/ada,Classe treballadora mitjana,Treballo,2,2,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,5,Es pot confiar en la majoria de la gent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,3,3,2,2,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,5,1,Un/a ateu/a,No,De 901 a 1000 €,Tots els dies,Tots els dies,5,6,3,2,4,4,1,4,3,3,4
 ,Bages,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Divorciat/ada,Classe treballadora mitjana,No treballo,2,2,A Catalunya,Català,Bastant important,Molt important,Bastant important,Bastant important,Bastant important,Poc important,7,Es pot confiar en la majoria de la gent,Dolenta,Bastant feliç,En desacord,2,3,1,2,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,3,1,Una persona no religiosa,No,De 1001 a 1200 €,3-4 dies per setmana,Tots els dies,6,6,4,4,4,4,1,4,4,3,3
Vilassar de Mar,Maresme,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Divorciat/ada,Classe mitjana alta,Treballo,2,2,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Gens important,8,Un mai no és prou prudent,Molt bona,Bastant feliç,Ni d’acord ni en desacord,3,3,3,2,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",3,2,2,2,Una persona no religiosa,No,Valor perdut per prefereixo no contestar,1-2 dies per setmana,Tots els dies,3,4,2,2,4,3,3,4,2,2,3
 ,Tarragonès,Tarragona,Femení,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Gens important,7,Un mai no és prou prudent,Molt bona,Bastant feliç,En desacord,3,3,3,7,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,7,1,1,2,Una persona no religiosa,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,2,4,2,4,3,4,3,4,2,3,2
Olot,Garrotxa,Girona,Femení,2,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,1,1,A Catalunya,Català,Molt important,Molt important,Molt important,Molt important,Bastant important,Poc important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Molt en desacord,3,3,3,9,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",8,1,3,1,Un/a ateu/a,No,De 2.401 a 3.000 €,Tots els dies,Tots els dies,6,5,2,2,3,0,0,1,2,3,4
Terrassa,Vallès Occidental,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Castellà,Molt important,Molt important,Molt important,Bastant important,Molt important,Bastant important,7,Un mai no és prou prudent,Ni bona ni dolenta,Bastant feliç,Ni d’acord ni en desacord,3,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",9,2,1,2,Una persona no religiosa,No,De 2.401 a 3.000 €,1-2 dies per setmana,3-4 dies per setmana,6,6,2,4,3,3,2,4,2,4,4
Barcelona,Barcelonès,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana alta,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Poc important,Bastant important,Gens important,9,Es pot confiar en la majoria de la gent,Molt bona,Molt feliç,D’acord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor",No crec que hi hagi un dilema entre protecció del medi ambient i creixement econòmic,8,1,2,2,Una persona no religiosa,No,Més de 6.000 €,5-6 dies per setmana,Tots els dies,5,6,1,3,4,3,1,2,1,1,3
Tàrrega,Urgell,Lleida,Masculí,6,"Sí, tinc la ciutadania espanyola","Estudis secundaris post obligatoris (Batxillerat, BUP/COU, etc.)",Casat/ada,Classe mitjana baixa,Treballo,2,1,A Catalunya,Català,Molt important,Molt important,Bastant important,Bastant important,Molt important,Poc important,9,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,2,3,3,3,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,1,1,2,Una persona no religiosa,No,De 3.001 a 4.000 €,Tots els dies,Tots els dies,6,6,3,4,4,2,2,4,3,4,4
Barcelona,Barcelonès,Barcelona,Masculí,5,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Bastant important,Gens important,7,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,En desacord,3,3,3,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,1,5,1,Un/a ateu/a,No,De 4.001 a 4.500 €,Tots els dies,Tots els dies,4,0,0,0,0,0,0,0,0,0,0
 ,Tarragonès,Tarragona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Molt important,Poc important,8,Un mai no és prou prudent,Molt bona,Bastant feliç,En desacord,3,3,3,2,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,0 La vida cultural catalana s’empobreix,3,4,2,Una persona no religiosa,No,Més de 6.000 €,Tots els dies,Tots els dies,3,5,1,3,4,3,4,4,1,4,4
Viladecans,Baix Llobregat,Barcelona,Masculí,4,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Solter/a,Classe mitjana baixa,Treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Molt important,Poc important,9,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,3,"1 A la llarga, esforçar-se en el treball acostuma a conduir a una vida millor","S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",7,2,5,1,Una persona no religiosa,No,De 3.001 a 4.000 €,Tots els dies,Tots els dies,3,6,0,2,2,4,4,4,0,2,4
 ,Alt Penedès,Barcelona,Femení,5,"Sí, tinc la ciutadania espanyola",Vaig finalitzar els estudis obligatoris (EGB o ESO),Casat/ada,Classe treballadora mitjana,Treballo,2,3,A Catalunya,Català,Molt important,Bastant important,Molt important,Bastant important,Molt important,Bastant important,6,Un mai no és prou prudent,Bona,Bastant feliç,En desacord,3,3,2,6,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",5,2,4,1,Una persona religiosa,No,De 2.001 a 2.400 €,5-6 dies per setmana,Tots els dies,4,5,2,2,2,2,2,4,2,4,4
Barcelona,Barcelonès,Barcelona,Masculí,6,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Casat/ada,Classe mitjana alta,Treballo,2,1,A Catalunya,Català,Molt important,Molt important,Molt important,Bastant important,Gens important,Poc important,8,Es pot confiar en la majoria de la gent,Bona,Bastant feliç,Ni d’acord ni en desacord,1,3,2,7,"S’hauria de donar prioritat al creixement econòmic i a la creació de llocs de treball, fins i tot si el medi ambient pat",7,3,4,2,Una persona religiosa,No,De 3.001 a 4.000 €,Amb menys freqüència,Tots els dies,1,5,1,4,4,2,1,4,1,3,4
Sant Boi de Llobregat,Baix Llobregat,Barcelona,Masculí,3,"Sí, tinc la ciutadania espanyola",Estudis universitaris,Solter/a,Classe treballadora mitjana,Treballo,1,1,A Catalunya,Castellà,Molt important,Molt important,Molt important,Poc important,Molt important,Poc important,5,Es pot confiar en la majoria de la gent,Bona,No gaire feliç,D’acord,2,3,2,10 Esforçar-se en el treball no acostuma a conduir a l’èxit. Això depèn més de la sort i els contactes,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,3,5,2,Una persona no religiosa,No,De 1.801 a 2.000 €,1-2 dies per setmana,Tots els dies,3,6,3,4,4,2,2,4,3,4,4
Cassà de la Selva,Gironès,Girona,Femení,2,"No, no tinc la ciutadania espanyola",Estudis universitaris,Parella de fet,Classe mitjana,Treballo,2,3,Fora d'Espanya,Altres opcions,Molt important,Molt important,Molt important,Bastant important,Bastant important,Bastant important,7,Es pot confiar en la majoria de la gent,Molt bona,Bastant feliç,En desacord,3,3,1,8,"S’hauria de donar prioritat a la protecció del medi ambient, fins i tot si provoca un creixement econòmic més lent i alg",10 La vida cultural catalana s’enriqueix,2,5,1,Una persona religiosa,No,De 2.001 a 2.400 €,3-4 dies per setmana,1-2 dies per setmana,4,6,3,2,3,2,1,3,3,2,4
 ,Baix Ebre,Tarragona,Femení,5,"Sí, tinc la ciutadania espanyola","Formació professional de grau superior (FP2, CFGS i equivalents)",Vidu/a,Classe treballadora mitjana,No treballo,2,1,A Catalunya,Català,Molt important,Bastant important,Poc important,Bastant important,Molt important,Bastant important,2,Es pot confiar en la majoria de la gent,Bona,No gaire feliç,Ni d’acord ni en desacord,3,2,3,5,S'ha de trobar un equilibri per donar prioritat a ambdues coses / creixement econòmic sostenible,6,3,6,3,Una persona religiosa,No,De 1.201 a 1.800 €,Tots els dies,Tots els dies,0,5,1,0,2,1,1,4,1,4,4
